N回目,ε,α,γ,学習回数,最短経路
---------------------------0.9,0.9,0.9-------------------------------
22,0.80,0.90,0.90,21,18
60,0.80,0.90,0.90,10,18
8,0.60,0.90,0.90,1435,16
3,0.60,0.90,0.90,273,16
7,0.60,0.90,0.90,263,16
4,0.60,0.90,0.90,111,16
6,0.60,0.90,0.90,34,16
5,0.60,0.90,0.90,341,16
1,0.60,0.90,0.90,240,16
11,0.60,0.90,0.90,9624,16
9,0.60,0.90,0.90,150,16
10,0.60,0.90,0.90,158,16
2,0.60,0.90,0.90,54346,16
12,0.60,0.90,0.90,136,16
14,0.60,0.90,0.90,39,16
13,0.60,0.90,0.90,182,16
16,0.60,0.90,0.90,1159,16
15,0.60,0.90,0.90,109,16
18,0.60,0.90,0.90,446,16
21,0.60,0.90,0.90,157,16
19,0.60,0.90,0.90,683,16
17,0.60,0.90,0.90,376,16
20,0.60,0.90,0.90,121,16
22,0.60,0.90,0.90,215,16
27,0.60,0.90,0.90,165,16
25,0.60,0.90,0.90,174,16
24,0.60,0.90,0.90,130,16
23,0.60,0.90,0.90,2706,16
26,0.60,0.90,0.90,393,16
28,0.60,0.90,0.90,89,16
29,0.60,0.90,0.90,183,16
31,0.60,0.90,0.90,124,16
34,0.60,0.90,0.90,115,16
32,0.60,0.90,0.90,59,16
33,0.60,0.90,0.90,78,16
37,0.60,0.90,0.90,210,16
30,0.60,0.90,0.90,17480,16
35,0.60,0.90,0.90,350,16
36,0.60,0.90,0.90,178,16
38,0.60,0.90,0.90,366,16
42,0.60,0.90,0.90,526,16
40,0.60,0.90,0.90,293,16
39,0.60,0.90,0.90,139,16
41,0.60,0.90,0.90,586,16
44,0.60,0.90,0.90,88,16
45,0.60,0.90,0.90,129,16
43,0.60,0.90,0.90,39,16
46,0.60,0.90,0.90,20,16
47,0.60,0.90,0.90,160,16
48,0.60,0.90,0.90,77,16
52,0.60,0.90,0.90,252,16
51,0.60,0.90,0.90,201,16
50,0.60,0.90,0.90,182,16
49,0.60,0.90,0.90,163,16
54,0.60,0.90,0.90,390,16
55,0.60,0.90,0.90,9411,16
53,0.60,0.90,0.90,111,16
56,0.60,0.90,0.90,133,16
59,0.60,0.90,0.90,80,16
60,0.60,0.90,0.90,494,16
57,0.60,0.90,0.90,56,16
58,0.60,0.90,0.90,618,16
62,0.60,0.90,0.90,109,16
61,0.60,0.90,0.90,1316,16
66,0.60,0.90,0.90,749,16
67,0.60,0.90,0.90,368,16
68,0.60,0.90,0.90,389,16
64,0.60,0.90,0.90,189,16
65,0.60,0.90,0.90,131,16
63,0.60,0.90,0.90,21116,16
69,0.60,0.90,0.90,146,16
70,0.60,0.90,0.90,208,16
72,0.60,0.90,0.90,251,16
77,0.60,0.90,0.90,921,16
76,0.60,0.90,0.90,146,16
73,0.60,0.90,0.90,2976,16
74,0.60,0.90,0.90,381,16
71,0.60,0.90,0.90,214,16
75,0.60,0.90,0.90,142,16
78,0.60,0.90,0.90,106,16
79,0.60,0.90,0.90,3165,16
81,0.60,0.90,0.90,106,16
80,0.60,0.90,0.90,1216,16
83,0.60,0.90,0.90,58,16
86,0.60,0.90,0.90,8953,16
82,0.60,0.90,0.90,594,16
84,0.60,0.90,0.90,1466,16
85,0.60,0.90,0.90,652,16
87,0.60,0.90,0.90,13,16
90,0.60,0.90,0.90,85,16
92,0.60,0.90,0.90,457,16
89,0.60,0.90,0.90,50,16
91,0.60,0.90,0.90,41,16
88,0.60,0.90,0.90,461,16
93,0.60,0.90,0.90,516,16
94,0.60,0.90,0.90,585,16
97,0.60,0.90,0.90,609,16
96,0.60,0.90,0.90,89,16
95,0.60,0.90,0.90,7820,16
